Results of experiments stored in: ./experiments/CartPole-v1_5
Episode: 1, exploration: 0.9942657848626825, score: 54.0
Scores: (min: 54.0, avg: 54.0, max: 54.0)

Episode: 2, exploration: 0.9868357601098019, score: 30.0
Scores: (min: 30.0, avg: 42.0, max: 54.0)

Episode: 3, exploration: 0.9814223871529224, score: 22.0
Scores: (min: 22.0, avg: 35.333333333333336, max: 54.0)

Episode: 4, exploration: 0.9784821649870683, score: 12.0
Scores: (min: 12.0, avg: 29.5, max: 54.0)

Episode: 5, exploration: 0.9726281199105681, score: 24.0
Scores: (min: 12.0, avg: 28.4, max: 54.0)

Episode: 6, exploration: 0.9692294477852923, score: 14.0
Scores: (min: 12.0, avg: 26.0, max: 54.0)

Episode: 7, exploration: 0.961986516470644, score: 30.0
Scores: (min: 12.0, avg: 26.571428571428573, max: 54.0)

Episode: 8, exploration: 0.9583853732363975, score: 15.0
Scores: (min: 12.0, avg: 25.125, max: 54.0)

Episode: 9, exploration: 0.9550364697998095, score: 14.0
Scores: (min: 12.0, avg: 23.88888888888889, max: 54.0)

Episode: 10, exploration: 0.9524133999847524, score: 11.0
Scores: (min: 11.0, avg: 22.6, max: 54.0)

Episode: 11, exploration: 0.9486108811584631, score: 16.0
Scores: (min: 11.0, avg: 22.0, max: 54.0)

Episode: 12, exploration: 0.9424641406074767, score: 26.0
Scores: (min: 11.0, avg: 22.333333333333332, max: 54.0)

Episode: 13, exploration: 0.9368255835039101, score: 24.0
Scores: (min: 11.0, avg: 22.46153846153846, max: 54.0)

Episode: 14, exploration: 0.9347198325694668, score: 9.0
Scores: (min: 9.0, avg: 21.5, max: 54.0)

Episode: 15, exploration: 0.9309879554657764, score: 16.0
Scores: (min: 9.0, avg: 21.133333333333333, max: 54.0)

Episode: 16, exploration: 0.9221843527242809, score: 38.0
Scores: (min: 9.0, avg: 22.1875, max: 54.0)

Episode: 17, exploration: 0.9180433297780599, score: 18.0
