Results of experiments stored in: ./experiments/CartPole-v1_18

Episode: 1 (913), exploration: 0.9995000625, score: 28.0
Scores: (min: 28.0, avg: 28.0, max: 28.0)

Episode: 2 (914), exploration: 0.9985009371875586, score: 16.0
Scores: (min: 16.0, avg: 22.0, max: 28.0)

Episode: 3 (915), exploration: 0.9977522486879922, score: 12.0
Scores: (min: 12.0, avg: 18.666666666666668, max: 28.0)

Episode: 4 (916), exploration: 0.996754870534042, score: 19.0
Scores: (min: 12.0, avg: 18.75, max: 28.0)

Episode: 5 (917), exploration: 0.994514413466049, score: 36.0
Scores: (min: 12.0, avg: 22.2, max: 36.0)

Episode: 6 (918), exploration: 0.99227899238837, score: 33.0
Scores: (min: 12.0, avg: 24.0, max: 36.0)

Episode: 7 (919), exploration: 0.9912870854385903, score: 16.0
Scores: (min: 12.0, avg: 22.857142857142858, max: 36.0)

Episode: 8 (920), exploration: 0.9905438059753512, score: 14.0
Scores: (min: 12.0, avg: 21.75, max: 36.0)

Episode: 9 (921), exploration: 0.98807023050841, score: 41.0
Scores: (min: 12.0, avg: 23.88888888888889, max: 41.0)

Episode: 10 (922), exploration: 0.9853564313198341, score: 44.0
Scores: (min: 12.0, avg: 25.9, max: 44.0)

Episode: 11 (923), exploration: 0.9819132824245544, score: 53.0
Scores: (min: 12.0, avg: 28.363636363636363, max: 53.0)

Episode: 12 (924), exploration: 0.9797061855557069, score: 39.0
Scores: (min: 12.0, avg: 29.25, max: 53.0)

Episode: 13 (925), exploration: 0.978726846698743, score: 15.0
Scores: (min: 12.0, avg: 28.153846153846153, max: 53.0)

Episode: 14 (926), exploration: 0.9777484868134452, score: 17.0
Scores: (min: 12.0, avg: 27.357142857142858, max: 53.0)

Episode: 15 (927), exploration: 0.9750630369656341, score: 42.0
Scores: (min: 12.0, avg: 28.333333333333332, max: 53.0)

Episode: 16 (928), exploration: 0.9740883395163699, score: 15.0
Scores: (min: 12.0, avg: 27.5, max: 53.0)

Episode: 17 (929), exploration: 0.9728713377450043, score: 23.0
Scores: (min: 12.0, avg: 27.235294117647058, max: 53.0)

Episode: 18 (930), exploration: 0.9704418937779434, score: 39.0
Scores: (min: 12.0, avg: 27.88888888888889, max: 53.0)

Episode: 19 (931), exploration: 0.9697142443003021, score: 10.0
Scores: (min: 10.0, avg: 26.94736842105263, max: 53.0)

Episode: 20 (932), exploration: 0.968260581737977, score: 27.0
Scores: (min: 10.0, avg: 26.95, max: 53.0)

Episode: 21 (933), exploration: 0.9670508610223963, score: 18.0
Scores: (min: 10.0, avg: 26.523809523809526, max: 53.0)

Episode: 22 (934), exploration: 0.9663257541835559, score: 11.0
Scores: (min: 10.0, avg: 25.818181818181817, max: 53.0)

Episode: 23 (935), exploration: 0.9653597907411388, score: 17.0
Scores: (min: 10.0, avg: 25.434782608695652, max: 53.0)

Episode: 24 (936), exploration: 0.9646359518879599, score: 11.0
Scores: (min: 10.0, avg: 24.833333333333332, max: 53.0)

Episode: 25 (937), exploration: 0.9639126557782126, score: 12.0
Scores: (min: 10.0, avg: 24.32, max: 53.0)

Episode: 26 (938), exploration: 0.9631899020049409, score: 15.0
Scores: (min: 10.0, avg: 23.96153846153846, max: 53.0)

Episode: 27 (939), exploration: 0.9617460198415264, score: 21.0
Scores: (min: 10.0, avg: 23.85185185185185, max: 53.0)

Episode: 28 (940), exploration: 0.9605444382577331, score: 22.0
Scores: (min: 10.0, avg: 23.785714285714285, max: 53.0)

Episode: 29 (941), exploration: 0.9567094561900504, score: 62.0
Scores: (min: 10.0, avg: 25.103448275862068, max: 62.0)

Episode: 30 (942), exploration: 0.9512234783443504, score: 95.0
Scores: (min: 10.0, avg: 27.433333333333334, max: 95.0)

Episode: 31 (943), exploration: 0.9502726115153627, score: 15.0
Scores: (min: 10.0, avg: 27.032258064516128, max: 95.0)

Episode: 32 (944), exploration: 0.949560085217993, score: 13.0
Scores: (min: 10.0, avg: 26.59375, max: 95.0)

Episode: 33 (945), exploration: 0.9476626259471007, score: 30.0
Scores: (min: 10.0, avg: 26.696969696969695, max: 95.0)

Episode: 34 (946), exploration: 0.9467153186354132, score: 18.0
Scores: (min: 10.0, avg: 26.441176470588236, max: 95.0)

Episode: 35 (947), exploration: 0.9448235439218331, score: 29.0
Scores: (min: 10.0, avg: 26.514285714285716, max: 95.0)

Episode: 36 (948), exploration: 0.9438790746276927, score: 17.0
Scores: (min: 10.0, avg: 26.25, max: 95.0)

Episode: 37 (949), exploration: 0.9431713422843003, score: 13.0
Scores: (min: 10.0, avg: 25.89189189189189, max: 95.0)

Episode: 38 (950), exploration: 0.9417574691993215, score: 25.0
Scores: (min: 10.0, avg: 25.86842105263158, max: 95.0)

Episode: 39 (951), exploration: 0.940345715598906, score: 24.0
Scores: (min: 10.0, avg: 25.82051282051282, max: 95.0)

Episode: 40 (952), exploration: 0.9396406326123358, score: 11.0
Scores: (min: 10.0, avg: 25.45, max: 95.0)

Episode: 41 (953), exploration: 0.9384666689501654, score: 18.0
Scores: (min: 10.0, avg: 25.26829268292683, max: 95.0)

Episode: 42 (954), exploration: 0.9377629948962897, score: 15.0
Scores: (min: 10.0, avg: 25.023809523809526, max: 95.0)

Episode: 43 (955), exploration: 0.9361231399564413, score: 26.0
Scores: (min: 10.0, avg: 25.046511627906977, max: 95.0)

Episode: 44 (956), exploration: 0.9344861526113244, score: 29.0
Scores: (min: 10.0, avg: 25.136363636363637, max: 95.0)

Episode: 45 (957), exploration: 0.9321525637207054, score: 39.0
Scores: (min: 10.0, avg: 25.444444444444443, max: 95.0)

Episode: 46 (958), exploration: 0.93075520847691, score: 25.0
Scores: (min: 10.0, avg: 25.434782608695652, max: 95.0)

Episode: 47 (959), exploration: 0.9279667790190425, score: 46.0
