Results of experiments stored in: ./experiments/CartPole-v1_4
Episode: 1, exploration: 1.0, score: 15.0
Scores: (min: 15.0, avg: 15.0, max: 15.0)

Episode: 2, exploration: 1.0, score: 13.0
Scores: (min: 13.0, avg: 14.0, max: 15.0)

Episode: 3, exploration: 0.9920309226402729, score: 35.0
Scores: (min: 13.0, avg: 21.0, max: 35.0)

Episode: 4, exploration: 0.985602832027841, score: 26.0
Scores: (min: 13.0, avg: 22.25, max: 35.0)

Episode: 5, exploration: 0.9801962224046453, score: 22.0
Scores: (min: 13.0, avg: 22.2, max: 35.0)

Episode: 6, exploration: 0.977259673679319, score: 12.0
Scores: (min: 12.0, avg: 20.5, max: 35.0)

Episode: 7, exploration: 0.9721418666398703, score: 21.0
Scores: (min: 12.0, avg: 20.571428571428573, max: 35.0)

Episode: 8, exploration: 0.969956733483673, score: 9.0
Scores: (min: 9.0, avg: 19.125, max: 35.0)

Episode: 9, exploration: 0.9663257541835559, score: 15.0
Scores: (min: 9.0, avg: 18.666666666666668, max: 35.0)

Episode: 10, exploration: 0.9593443579001186, score: 29.0
Scores: (min: 9.0, avg: 19.7, max: 35.0)

Episode: 11, exploration: 0.9452961329072784, score: 59.0
Scores: (min: 9.0, avg: 23.272727272727273, max: 59.0)

Episode: 12, exploration: 0.9396406326123358, score: 24.0
Scores: (min: 9.0, avg: 23.333333333333332, max: 59.0)

Episode: 13, exploration: 0.9347198325694668, score: 21.0
Scores: (min: 9.0, avg: 23.153846153846153, max: 59.0)

Episode: 14, exploration: 0.9295923460429069, score: 22.0
Scores: (min: 9.0, avg: 23.071428571428573, max: 59.0)

Episode: 15, exploration: 0.9275028536274567, score: 9.0
Scores: (min: 9.0, avg: 22.133333333333333, max: 59.0)

Episode: 16, exploration: 0.9237997903752894, score: 16.0
Scores: (min: 9.0, avg: 21.75, max: 59.0)

Episode: 17, exploration: 0.9155218640294692, score: 36.0
Scores: (min: 9.0, avg: 22.58823529411765, max: 59.0)

Episode: 18, exploration: 0.9079989429706294, score: 33.0
Scores: (min: 9.0, avg: 23.166666666666668, max: 59.0)

Episode: 19, exploration: 0.9055050647840622, score: 11.0
Scores: (min: 9.0, avg: 22.526315789473685, max: 59.0)

Episode: 20, exploration: 0.9016643554392025, score: 17.0
Scores: (min: 9.0, avg: 22.25, max: 59.0)

Episode: 21, exploration: 0.8969424332011618, score: 21.0
Scores: (min: 9.0, avg: 22.19047619047619, max: 59.0)

Episode: 22, exploration: 0.8935847788894555, score: 15.0
Scores: (min: 9.0, avg: 21.863636363636363, max: 59.0)

Episode: 23, exploration: 0.8754505351964283, score: 82.0
Scores: (min: 9.0, avg: 24.47826086956522, max: 82.0)

Episode: 24, exploration: 0.8689084020510842, score: 30.0
Scores: (min: 9.0, avg: 24.708333333333332, max: 82.0)

Episode: 25, exploration: 0.8617685077756785, score: 33.0
Scores: (min: 9.0, avg: 25.04, max: 82.0)

Episode: 26, exploration: 0.8587572144089115, score: 14.0
Scores: (min: 9.0, avg: 24.615384615384617, max: 82.0)

Episode: 27, exploration: 0.8563985818343349, score: 11.0
Scores: (min: 9.0, avg: 24.11111111111111, max: 82.0)

Episode: 28, exploration: 0.8425928544611505, score: 65.0
Scores: (min: 9.0, avg: 25.571428571428573, max: 82.0)

Episode: 29, exploration: 0.8352514149101764, score: 35.0
Scores: (min: 9.0, avg: 25.896551724137932, max: 82.0)

Episode: 30, exploration: 0.821375752309533, score: 67.0
Scores: (min: 9.0, avg: 27.266666666666666, max: 82.0)

Episode: 31, exploration: 0.8083367009342606, score: 64.0
Scores: (min: 9.0, avg: 28.451612903225808, max: 82.0)

Episode: 32, exploration: 0.8008931355368658, score: 37.0
Scores: (min: 9.0, avg: 28.71875, max: 82.0)

Episode: 33, exploration: 0.7961015668351977, score: 24.0
Scores: (min: 9.0, avg: 28.575757575757574, max: 82.0)

Episode: 34, exploration: 0.7939150220741138, score: 11.0
Scores: (min: 9.0, avg: 28.058823529411764, max: 82.0)

Episode: 35, exploration: 0.7822892729221563, score: 59.0
Scores: (min: 9.0, avg: 28.942857142857143, max: 82.0)

Episode: 36, exploration: 0.7781925055473474, score: 21.0
Scores: (min: 9.0, avg: 28.72222222222222, max: 82.0)

Episode: 37, exploration: 0.7721840752887029, score: 31.0
Scores: (min: 9.0, avg: 28.783783783783782, max: 82.0)

Episode: 38, exploration: 0.7591662834967481, score: 68.0
Scores: (min: 9.0, avg: 29.81578947368421, max: 82.0)

Episode: 39, exploration: 0.7352546009446557, score: 128.0
Scores: (min: 9.0, avg: 32.333333333333336, max: 128.0)

Episode: 40, exploration: 0.7306730193256011, score: 25.0
Scores: (min: 9.0, avg: 32.15, max: 128.0)

Episode: 41, exploration: 0.7138787621133115, score: 93.0
Scores: (min: 9.0, avg: 33.63414634146341, max: 128.0)

Episode: 42, exploration: 0.7101402534523524, score: 21.0
Scores: (min: 9.0, avg: 33.333333333333336, max: 128.0)

Episode: 43, exploration: 0.6891498524082497, score: 120.0
Scores: (min: 9.0, avg: 35.348837209302324, max: 128.0)

Episode: 44, exploration: 0.6843420493858497, score: 28.0
Scores: (min: 9.0, avg: 35.18181818181818, max: 128.0)

Episode: 45, exploration: 0.6751643731791646, score: 54.0
Scores: (min: 9.0, avg: 35.6, max: 128.0)

Episode: 46, exploration: 0.6728051340330515, score: 14.0
Scores: (min: 9.0, avg: 35.130434782608695, max: 128.0)

Episode: 47, exploration: 0.6696164900747539, score: 19.0
Scores: (min: 9.0, avg: 34.787234042553195, max: 128.0)

Episode: 48, exploration: 0.6584924472748938, score: 67.0
Scores: (min: 9.0, avg: 35.458333333333336, max: 128.0)

Episode: 49, exploration: 0.6545528307884421, score: 24.0
Scores: (min: 9.0, avg: 35.224489795918366, max: 128.0)

Episode: 50, exploration: 0.6417506497655397, score: 79.0
Scores: (min: 9.0, avg: 36.1, max: 128.0)

Episode: 51, exploration: 0.6364773300696049, score: 33.0
Scores: (min: 9.0, avg: 36.03921568627451, max: 128.0)

Episode: 52, exploration: 0.6307740245330667, score: 36.0
Scores: (min: 9.0, avg: 36.03846153846154, max: 128.0)

Episode: 53, exploration: 0.6252781443497538, score: 35.0
Scores: (min: 9.0, avg: 36.0188679245283, max: 128.0)

Episode: 54, exploration: 0.6147369522225253, score: 68.0
Scores: (min: 9.0, avg: 36.611111111111114, max: 128.0)

Episode: 55, exploration: 0.6058864810626853, score: 58.0
Scores: (min: 9.0, avg: 37.0, max: 128.0)

Episode: 56, exploration: 0.598059961070016, score: 52.0
Scores: (min: 9.0, avg: 37.267857142857146, max: 128.0)

Episode: 57, exploration: 0.5913686592143288, score: 45.0
Scores: (min: 9.0, avg: 37.40350877192982, max: 128.0)

Episode: 58, exploration: 0.571311901924401, score: 138.0
Scores: (min: 9.0, avg: 39.13793103448276, max: 138.0)

Episode: 59, exploration: 0.5661925266074835, score: 36.0
Scores: (min: 9.0, avg: 39.08474576271186, max: 138.0)

Episode: 60, exploration: 0.548221905188657, score: 129.0
Scores: (min: 9.0, avg: 40.583333333333336, max: 138.0)

Episode: 61, exploration: 0.5458966161580352, score: 17.0
Scores: (min: 9.0, avg: 40.19672131147541, max: 138.0)

Episode: 62, exploration: 0.5279097926848412, score: 134.0
Scores: (min: 9.0, avg: 41.70967741935484, max: 138.0)

Episode: 63, exploration: 0.499155874517493, score: 224.0
Scores: (min: 9.0, avg: 44.6031746031746, max: 224.0)

Episode: 64, exploration: 0.48282982569295224, score: 133.0
Scores: (min: 9.0, avg: 45.984375, max: 224.0)

Episode: 65, exploration: 0.460774338627484, score: 187.0
Scores: (min: 9.0, avg: 48.15384615384615, max: 224.0)

Episode: 66, exploration: 0.4573310292089999, score: 30.0
Scores: (min: 9.0, avg: 47.878787878787875, max: 224.0)

Episode: 67, exploration: 0.45425405659115187, score: 27.0
Scores: (min: 9.0, avg: 47.56716417910448, max: 224.0)

Episode: 68, exploration: 0.43742353702331516, score: 151.0
Scores: (min: 9.0, avg: 49.088235294117645, max: 224.0)

Episode: 69, exploration: 0.4351327955578765, score: 21.0
Scores: (min: 9.0, avg: 48.68115942028985, max: 224.0)

Episode: 70, exploration: 0.4152560911094424, score: 187.0
Scores: (min: 9.0, avg: 50.65714285714286, max: 224.0)

Episode: 71, exploration: 0.38122308459273435, score: 342.0
Scores: (min: 9.0, avg: 54.76056338028169, max: 342.0)

Episode: 72, exploration: 0.36217528970183877, score: 205.0
Scores: (min: 9.0, avg: 56.84722222222222, max: 342.0)

Episode: 73, exploration: 0.34788546019748473, score: 161.0
Scores: (min: 9.0, avg: 58.273972602739725, max: 342.0)

Episode: 74, exploration: 0.32901926929029224, score: 223.0
Scores: (min: 9.0, avg: 60.5, max: 342.0)

Episode: 75, exploration: 0.3136759192356358, score: 191.0
Scores: (min: 9.0, avg: 62.24, max: 342.0)

Episode: 76, exploration: 0.294595286287651, score: 251.0
Scores: (min: 9.0, avg: 64.72368421052632, max: 342.0)

Episode: 77, exploration: 0.27639874004653964, score: 255.0
Scores: (min: 9.0, avg: 67.1948051948052, max: 342.0)

Episode: 78, exploration: 0.2597154869505838, score: 249.0
Scores: (min: 9.0, avg: 69.52564102564102, max: 342.0)

Episode: 79, exploration: 0.2472946708278127, score: 196.0
Scores: (min: 9.0, avg: 71.12658227848101, max: 342.0)

Episode: 80, exploration: 0.22759557228786217, score: 332.0
Scores: (min: 9.0, avg: 74.3875, max: 342.0)

Episode: 81, exploration: 0.21273809522246287, score: 270.0
Scores: (min: 9.0, avg: 76.80246913580247, max: 342.0)

Episode: 82, exploration: 0.2052661315206321, score: 143.0
Scores: (min: 9.0, avg: 77.60975609756098, max: 342.0)

Episode: 83, exploration: 0.19225048879454776, score: 262.0
Scores: (min: 9.0, avg: 79.83132530120481, max: 342.0)

Episode: 84, exploration: 0.18055605901588265, score: 251.0
Scores: (min: 9.0, avg: 81.86904761904762, max: 342.0)

Episode: 85, exploration: 0.16592414756692617, score: 338.0
Scores: (min: 9.0, avg: 84.88235294117646, max: 342.0)

Episode: 86, exploration: 0.15913860020901544, score: 167.0
Scores: (min: 9.0, avg: 85.83720930232558, max: 342.0)

Episode: 87, exploration: 0.1510738848602509, score: 208.0
Scores: (min: 9.0, avg: 87.24137931034483, max: 342.0)

Episode: 88, exploration: 0.14223939072823263, score: 241.0
Scores: (min: 9.0, avg: 88.98863636363636, max: 342.0)

Episode: 89, exploration: 0.1349635746678187, score: 210.0
Scores: (min: 9.0, avg: 90.34831460674157, max: 342.0)

Episode: 90, exploration: 0.1278040346044695, score: 218.0
Scores: (min: 9.0, avg: 91.76666666666667, max: 342.0)

Episode: 91, exploration: 0.12227132844533657, score: 177.0
Scores: (min: 9.0, avg: 92.7032967032967, max: 342.0)

Episode: 92, exploration: 0.12, score: 205.0
Scores: (min: 9.0, avg: 93.92391304347827, max: 342.0)

Episode: 93, exploration: 0.12, score: 233.0
Scores: (min: 9.0, avg: 95.41935483870968, max: 342.0)

Episode: 94, exploration: 0.12, score: 220.0
Scores: (min: 9.0, avg: 96.74468085106383, max: 342.0)

Episode: 95, exploration: 0.12, score: 224.0
Scores: (min: 9.0, avg: 98.08421052631579, max: 342.0)

Episode: 96, exploration: 0.12, score: 241.0
Scores: (min: 9.0, avg: 99.57291666666667, max: 342.0)

Episode: 97, exploration: 0.12, score: 345.0
Scores: (min: 9.0, avg: 102.10309278350516, max: 345.0)

